0001.hk,0002.hk,0003.hk,0004.hk,0005.hk,0006.hk,0011.hk,0012.hk,0016.hk,0017.hk,0019.hk,0023.hk,0027.hk,0066.hk,0083.hk,0101.hk,0135.hk,0144.hk,0151.hk,0267.hk,0293.hk,0386.hk,0388.hk,0494.hk,0688.hk,0700.hk,0762.hk,0823.hk,0836.hk,0857.hk,0883.hk,0939.hk,0941.hk,0992.hk,1038.hk,1044.hk,1088.hk,1109.hk,1113.hk,1299.hk,1398.hk,1880.hk,1928.hk,2018.hk,2318.hk,2319.hk,2388.hk,2628.hk,3328.hk,3988.hk
89.83629,73.864,14.27054,55.683,64.293,69.692,152.5,41.4829,103.982,8.9,77.099,31.5,35.4,37.937,12.42013,17.689,6.103,19.711,4.969,11.084,10.48,6.07,183.564,3.4,21.89278,197.1673,8.81,51.8,12.759,6.13,9.562,5.79,85.142,5.08,60.352,59,15.325,18.25,49.86,46.842,4.71,4.71,32.969,75.621,40.5,14,29.8,21.18,5.72,3.51
89.54239,73.864,14.27054,56.07376,64.293,69.74,154.2,41.434,103.586,8.86,75.965,31.6,35.7,38.035,12.47956,17.844,6.083,20.196,5.029,11.142,10.4,6.1,183.267,3.34,22.04004,197.2671,8.83,51.9,12.816,6.08,9.494,5.8,84.847,5.02,59.963,59.8,15.481,18.269,49.37,46.99,4.73,4.71,33.205,76.509,40.3,14.22,29.8,21.081,5.71,3.52
90.4241,74.308,14.32967,56.80643,64.343,69.304,155,41.6783,104.775,8.92,76.556,32.4,35.6,38.231,12.67765,17.98,6.103,20.002,5.079,11.201,10.46,6.2,183.267,3.35,22.13822,197.2671,8.95,52.15,12.74,6.18,9.465,5.73,85.734,4.98,59.67,61.75,15.871,18.347,49.27,46.842,4.73,4.77,32.969,77.398,40.15,14.22,29.849,21.279,5.72,3.53
89.78731,74.604,14.30996,57.24603,65.29,70.08,155.8,41.5806,105.27,8.88,76.655,32.05,36.45,38.379,12.67765,18.291,6.132,20.148,5.199,11.142,10.48,6.26,183.861,3.37,22.28548,200.259,8.87,52.05,12.626,6.25,9.445,5.72,85.537,5.03,59.475,62.4,15.852,18.6,49.27,47.187,4.72,4.66,33.394,78.977,40.05,14.38,29.996,21.13,5.69,3.51
90.4241,74.554,14.34938,57.44141,66.486,70.371,157.5,42.2158,106.062,8.95,77.641,32.85,36.8,38.575,12.81631,18.68,6.182,20.294,5.399,11.26,10.42,6.28,185.84,3.38,22.58,204.4477,9.19,53,12.759,6.3,9.66,5.84,86.916,5.13,59.67,64,16.144,18.853,50.15,47.533,4.8,4.8,33.157,79.866,40.2,14.78,30.584,21.378,5.77,3.56
91.55073,74.801,14.44794,57.19719,66.536,72.361,158.9,42.0692,106.359,9,78.035,33.25,37.15,38.869,12.77669,18.661,6.162,20.245,5.548,11.299,10.54,6.21,186.731,3.38,22.53091,203.8493,9.22,53.15,12.721,6.22,9.602,5.8,86.571,5.11,60.937,63.75,16.125,18.814,50.3,47.681,4.78,4.76,32.591,78.977,40.1,14.58,30.584,21.328,5.75,3.54
91.55073,74.801,14.44794,57.19719,66.536,72.361,158.9,42.0692,106.359,9,78.035,33.25,37.15,38.869,12.77669,18.661,6.162,20.245,5.548,11.299,10.54,6.21,186.731,3.38,22.53091,203.8493,9.22,53.15,12.721,6.22,9.602,5.8,86.571,5.11,60.937,63.75,16.125,18.814,50.3,47.681,4.78,4.76,32.591,78.977,40.1,14.58,30.584,21.328,5.75,3.54
91.55073,74.801,14.44794,57.19719,66.536,72.361,158.9,42.0692,106.359,9,78.035,33.25,37.15,38.869,12.77669,18.661,6.162,20.245,5.548,11.299,10.54,6.21,186.731,3.38,22.53091,203.8493,9.22,53.15,12.721,6.22,9.602,5.8,86.571,5.11,60.937,63.75,16.125,18.814,50.3,47.681,4.78,4.76,32.591,78.977,40.1,14.58,30.584,21.328,5.75,3.54
90.32613,75.146,14.46765,57.44141,66.137,73.477,159.9,42.0692,106.755,9.05,78.085,33.15,36.15,39.115,12.91535,18.991,6.073,20.342,5.379,11.162,10.5,6.15,186.533,3.34,22.77635,206.0433,9.2,53.15,12.569,6.13,9.514,5.8,87.36,5.04,60.693,63.65,16.027,19.067,50.2,47.336,4.77,4.85,31.882,76.904,39.6,14.32,30.29,21.229,5.75,3.52
90.1302,74.751,14.32967,56.95297,66.037,72.604,159,41.9226,106.161,8.93,77.444,33.3,35.55,38.968,12.73707,18.836,6.043,20.196,5.369,11.064,10.44,6.19,185.346,3.3,22.58,204.6471,9.21,52.9,12.569,6.09,9.436,5.77,86.522,5.01,61.619,64.15,16.086,18.775,50.15,46.645,4.73,4.8,31.693,77.99,39.45,14.7,30.241,20.982,5.72,3.51
89.88528,74.899,14.42823,57.14835,65.589,72.992,159.3,41.8249,106.953,8.99,77,32.85,35.55,39.066,12.67765,18.913,6.023,20.148,5.279,11.084,10.48,6.17,184.455,3.32,22.48183,204.4477,9.21,52.9,12.456,6.04,9.504,5.76,85.684,5,62.398,63.3,15.832,18.892,50.15,46.496,4.7,4.9,31.977,77.842,39.25,14.92,29.849,21.18,5.68,3.5
89.78731,75.886,14.48736,56.46452,66.137,73.041,161,41.8249,107.151,9.09,76.901,32.85,35.4,39.36,12.65784,18.875,6.033,20.245,5.329,11.123,10.46,6.18,185.247,3.34,22.48183,206.8412,9.21,53.1,12.626,6.07,9.465,5.8,87.508,5.04,62.349,63.75,15.774,18.872,50.2,46.891,4.74,4.98,31.87,78.681,41.05,15,30.388,22.763,5.73,3.54
89.73833,76.773,14.60562,56.56221,65.988,73.574,161,42.2647,107.448,9.23,77.592,32.75,34.75,39.458,12.69746,19.03,6.004,20.294,5.379,11.142,10.76,6.08,184.752,3.35,22.48183,204.8466,9.45,53.15,12.664,6.05,9.416,5.8,87.113,5.02,62.349,63.95,15.598,18.872,50.5,46.793,4.76,5.12,31.237,81.396,41.1,14.74,29.996,23.258,5.7,3.55
89.49341,76.921,14.7436,56.75759,66.287,74.205,160,42.7044,107.349,9.28,78.38,33.35,34.15,39.409,12.75688,19.147,6.291,20.342,5.418,11.397,11.1,6.1,193.46,3.36,23.65991,203.4503,9.52,54.25,12.797,6.04,9.299,5.85,87.212,5.15,62.155,64.55,15.54,20.186,50.79,47.138,4.82,5.07,30.751,82.136,41.1,14.78,31.025,23.258,5.81,3.63
89.34645,77.02,14.68447,56.70874,65.988,73.332,159.5,42.6556,107.845,9.25,78.183,33.15,34.85,39.262,13.0144,18.816,6.439,20.828,5.448,11.338,11.02,6.1,193.46,3.36,24.05261,203.6498,9.47,53.85,12.816,6,9.309,5.92,87.015,5.16,61.18,64.15,15.345,21.158,50.89,46.595,4.87,5.34,30.799,82.383,41.55,14.92,30.388,23.406,5.87,3.72
89.64036,76.576,14.70418,56.02492,66.835,74.254,161.2,42.7044,107.25,9.25,78.479,33.65,35.5,39.507,12.73707,18.913,6.499,21.41,5.408,11.515,11.2,6.15,193.757,3.42,23.709,202.0541,9.49,54.05,12.949,6.12,9.397,5.91,86.374,5.2,61.619,64.25,15.754,20.867,51.52,46.645,4.86,5.17,31.091,81.593,41.6,15.58,30.388,23.456,5.93,3.74
89.83629,76.576,14.58591,56.02492,66.685,74.545,161.6,42.7044,106.953,9.23,78.676,33.75,35.4,39.507,12.61822,19.03,6.539,21.653,5.418,11.612,11.16,6.19,196.627,3.34,23.709,203.0514,9.52,53.45,13.214,6.17,9.455,5.95,87.36,5.22,61.667,65.2,15.774,20.721,51.28,46.99,4.94,5.25,30.702,84.061,42.2,15.5,30.535,24.198,5.99,3.8
91.25683,77.02,14.68447,56.41567,66.785,68.576,163.2,42.7533,107.448,9.29,79.218,33.9,37.85,39.507,12.5786,19.03,6.529,21.507,5.468,11.417,11.16,6.11,195.736,3.42,23.709,202.2536,9.39,53.3,13.385,6.14,9.309,5.97,86.621,5.2,62.155,63.9,15.813,20.867,51.48,46.694,4.96,5.24,32.21,85.098,42.1,15.16,30.682,24.198,6.01,3.82
91.20784,76.97,14.70418,57.19719,67.483,68.333,164.1,42.8999,108.043,9.35,79.268,34.65,37.6,39.753,12.59841,19.108,6.588,21.604,5.548,11.652,11.04,6.08,199.892,3.49,23.85626,206.0433,9.42,53,13.498,6.1,9.299,6.27,86.226,5.23,62.398,64.45,16.3,21.012,51.67,46.941,5.1,5.14,32.016,87.22,42.35,15.02,30.829,24.248,6.18,3.97
