0001.hk,0002.hk,0003.hk,0004.hk,0005.hk,0006.hk,0007.hk,0008.hk,0009.hk,0010.hk,0011.hk,0012.hk,0014.hk,0015.hk,0016.hk,0017.hk,0018.hk,0019.hk,0020.hk,0021.hk,0022.hk,0023.hk,0024.hk,0025.hk,0026.hk,0027.hk,0028.hk,0029.hk,0030.hk,0031.hk,0032.hk,0033.hk,0034.hk,0035.hk,0036.hk,0037.hk,0038.hk,0039.hk,0040.hk,0041.hk,0042.hk,0043.hk,0044.hk,0045.hk,0046.hk,0047.hk,0048.hk,0050.hk,0051.hk,0052.hk,0053.hk,0054.hk,0055.hk,0056.hk,0057.hk,0058.hk,0059.hk,0060.hk,0061.hk,0062.hk,0063.hk,0064.hk,0065.hk,0066.hk,0068.hk,0069.hk,0070.hk,0071.hk,0072.hk,0073.hk,0075.hk,0076.hk,0077.hk,0078.hk,0079.hk,0081.hk,0082.hk,0083.hk,0084.hk,0085.hk,0086.hk,0087.hk,0088.hk,0089.hk,0090.hk,0091.hk,0092.hk,0093.hk,0094.hk,0095.hk,0096.hk,0097.hk,0098.hk,0099.hk,0100.hk,0101.hk,0102.hk,0103.hk,0104.hk
94.89989,60.152,12.70749,35.33382,51.82,65.556,0.62,3.99786,1.07,21.581,125.849,35.833,28.824,0.522,83.194,6.35125,0.832,71.86,29.051,0.205,0.236,22.9355,0.255,11.708,74.46,21.15,3.861,2.94,0.14042,0.881,9.267,0.105,6.118,2.447,0.67,0.405,3.98,0.49,0.79618,22.53,2.13,0.57706,48.68,7.519,2.393,0.10232,0.265,8.472,11.65,22.663,77.794,23.94759,0.78,1.30632,1.76,0.28,0.63,0.85,3.1,19.48,0.39,0.28302,0.405,34.967,6.732,6.82862,0.71,13.627,1.49,0.65,5.69,0.114,1.13436,3.97,0.85,2.66593,0.43,9.45729,0.55,2.214,4.255,13.367,5.761,3.833,1.179,0.132,0.117,0.7,0.62,2.075,1.416,0.5476,2.61,2.528,7.188,14.409,2.49,0.198,0.19
94.07297,59.725,12.6026,34.58502,50.204,64.341,0.61,3.97048,1.04,20.821,123.661,35.7471,28.824,0.522,80.383,6.27542,0.823,70.493,28.86,0.195,0.236,22.3524,0.26,11.557,74.46,21.9,3.727,2.802,0.13767,0.871,9.296,0.105,5.978,2.409,0.69,0.39,3.951,0.5,0.85444,22.048,2.15,0.55844,48.44,7.411,2.467,0.1033,0.255,8.376,11.632,22.419,77.699,23.90091,0.73,1.2775,1.76,0.29,0.62,0.83,3.1,19.38,0.395,0.27838,0.38,35.015,6.732,6.89729,0.68,13.338,1.49,0.61,5.61,0.11,1.13436,3.84,0.82,2.75546,0.415,9.3336,0.53,2.214,4.188,13.161,5.646,3.833,1.16,0.132,0.107,0.7,0.63,2.036,1.363,0.5385,2.55,2.567,7.092,14.187,2.65,0.196,0.184
93.87841,60.105,12.6375,35.70821,50.296,64.481,0.62,4.11652,1.14,21.391,122.805,36.8629,28.871,0.522,81.812,6.47449,0.823,69.928,29.911,0.188,0.236,22.7897,0.265,11.557,73.47,22.35,3.765,2.674,0.14226,0.9,9.131,0.106,6.03,2.476,0.7,0.395,4.109,0.55,0.83502,21.807,2.22,0.58637,48.63,7.382,2.467,0.10719,0.25,8.376,11.667,22.517,77.463,23.85422,0.76,1.29671,1.681,0.285,0.62,0.83,3.2,19.62,0.435,0.27374,0.37,34.776,6.732,7.13276,0.7,13.261,1.47,0.6,5.71,0.114,1.13436,3.84,0.83,2.81514,0.425,9.60952,0.53,2.401,4.179,12.973,5.656,3.833,1.16,0.138,0.11,0.69,0.62,2.075,1.363,0.5385,2.57,2.625,7.092,14.391,2.54,0.195,0.185
91.05719,59.345,12.23556,34.11702,49.095,62.704,0.62,4.08914,1.07,20.631,119.095,34.4597,27.985,0.522,79.001,6.26594,0.803,68.891,28.191,0.178,0.233,21.6721,0.265,11.122,72.08,20.65,3.756,2.478,0.13767,0.861,9.112,0.106,5.986,2.362,0.66,0.37,3.931,0.52,0.79618,21.373,2.14,0.56775,48.1,7.391,2.393,0.10427,0.239,8.174,11.667,22.224,75.811,23.48077,0.7,1.28711,1.681,0.29,0.62,0.85,3.1,19.43,0.395,0.25982,0.35,33.916,6.634,6.85805,0.69,12.607,1.48,0.56,5.67,0.106,1.12571,3.67,0.82,2.64604,0.415,9.23846,0.53,2.233,4.141,12.898,5.618,3.833,1.16,0.132,0.106,0.69,0.62,1.998,1.363,0.5293,2.49,2.528,6.948,13.927,2.31,0.186,0.178
90.66806,59.298,11.72863,33.27463,47.941,61.909,0.63,4.01612,1.01,19.965,115.48,32.3569,27.098,0.503,77.476,5.99103,0.745,66.3,26.423,0.176,0.211,20.9432,0.255,10.781,70.49,20.1,3.717,2.596,0.13767,0.831,9.015,0.1,5.793,2.268,0.62,0.35,3.783,0.5,0.79618,21.131,1.99,0.55844,47.13,7.215,2.393,0.0994,0.229,8.165,11.454,21.883,74.112,23.01396,0.65,1.24868,1.632,0.24,0.62,0.85,3.1,19.33,0.385,0.24591,0.35,32.865,6.634,6.84824,0.66,12.318,1.48,0.53,5.7,0.116,1.12571,3.57,0.82,2.41724,0.39,9.14332,0.53,2.105,3.971,12.356,5.589,3.833,1.121,0.128,0.099,0.68,0.59,1.988,1.363,0.5202,2.49,2.577,6.881,13.334,2.2,0.18,0.178
91.98139,60.01,11.81602,33.92982,48.818,63.031,0.65,4.02524,1.03,19.87,116.907,33.0007,27.145,0.512,78.096,6.01947,0.765,67.713,26.71,0.177,0.215,21.9151,0.26,10.97,72.38,21.5,3.698,2.606,0.13859,0.851,9.025,0.099,5.617,2.258,0.65,0.395,3.951,0.5,0.79618,20.987,2.15,0.57706,48.2,7.245,2.375,0.09842,0.239,8.126,11.454,22.76,75.528,22.96728,0.67,1.26789,1.632,0.248,0.62,0.85,3.1,19.33,0.4,0.25982,0.345,33.056,6.634,6.93654,0.68,12.492,1.48,0.51,5.7,0.127,1.12571,3.65,0.84,2.51672,0.395,9.15283,0.52,2.214,4.084,12.543,5.579,3.776,1.092,0.13,0.103,0.68,0.64,1.959,1.363,0.5293,2.62,2.567,6.709,13.575,2.05,0.183,0.178
91.64089,59.962,11.72863,34.02342,49.511,63.826,0.66,4.07088,1,20.25,119.476,33.2582,27.238,0.512,78.906,6.02895,0.774,68.609,26.853,0.177,0.223,22.158,0.265,10.97,70.64,21.7,3.64,2.714,0.12849,0.871,9.054,0.101,5.546,2.277,0.61,0.385,3.99,0.475,0.77676,21.324,2.18,0.58637,48,7.352,2.375,0.1033,0.25,8.136,11.454,22.517,75.528,23.06064,0.69,1.28711,1.641,0.25,0.62,0.85,3.1,19.38,0.39,0.25982,0.345,33.438,6.634,6.99541,0.68,12.453,1.47,0.51,5.66,0.138,1.12571,3.69,0.82,2.60625,0.41,9.07672,0.56,2.204,4.132,12.786,5.503,3.795,1.101,0.129,0.103,0.68,0.62,1.969,1.363,0.5293,2.62,2.567,6.594,13.612,2.05,0.176,0.178
90.52214,59.678,11.62374,33.18103,47.848,63.499,0.67,4.10739,0.96,19.918,116.907,32.5715,27.285,0.493,76.905,5.88676,0.765,68.373,26.232,0.176,0.211,21.2348,0.26,10.781,69.7,21.55,3.592,2.635,0.13033,0.821,9.141,0.097,5.537,2.173,0.59,0.36,3.842,0.455,0.77676,21.083,2.1,0.59567,48.29,7.333,2.319,0.10232,0.24,8.146,11.454,21.932,73.64,22.36042,0.64,1.23908,1.641,0.249,0.62,0.83,0.3,19.29,0.395,0.25519,0.32,33.295,6.439,6.90711,0.66,11.818,1.47,0.5,5.66,0.148,1.09107,3.65,0.82,2.46698,0.4,9.01963,0.53,2.086,4.018,12.767,5.455,3.69,1.101,0.126,0.099,0.67,0.63,1.998,1.363,0.5202,2.59,2.48,6.488,13.111,1.92,0.175,0.178
90.61942,59.63,11.57135,33.13423,48.865,64.153,0.69,4.13477,0.96,19.918,115.671,34.3739,27.192,0.493,76.571,5.93416,0.765,69.551,26.853,0.175,0.207,21.332,0.26,11.178,68.51,22.45,3.64,2.704,0.13308,0.831,9.102,0.1,5.581,2.173,0.58,0.35,3.901,0.46,0.77676,21.131,2.12,0.60498,47.57,7.489,2.347,0.10232,0.24,8.069,11.49,21.834,74.159,22.31374,0.67,1.23908,1.681,0.245,0.62,0.83,0.29,19.43,0.395,0.25055,0.32,33.486,6.439,6.95616,0.66,12.01,1.47,0.51,5.73,0.145,1.12571,3.65,0.82,2.46698,0.4,9.34312,0.53,2.066,4.122,12.936,5.541,3.786,1.189,0.127,0.104,0.7,0.63,1.969,1.363,0.5385,2.59,2.48,6.469,13.297,1.7,0.176,0.179
91.93274,59.962,11.78102,33.46182,49.28,64.855,0.64,4.18041,0.95,20.013,118.049,36.6912,27.472,0.493,77.048,5.90572,0.765,69.457,27.618,0.17,0.207,21.3805,0.26,11.159,69.5,23.6,3.592,2.724,0.12574,0.831,9.122,0.098,5.573,2.183,0.56,0.345,3.961,0.475,0.75734,20.987,2.06,0.58637,47.52,7.528,2.328,0.10037,0.24,8.184,11.437,21.786,73.923,22.12701,0.74,1.23908,1.661,0.255,0.62,0.83,0.27,19.43,0.43,0.25982,0.32,33.199,6.439,6.90711,0.65,12.376,1.45,0.46,5.73,0.149,1.11705,3.75,0.81,2.46698,0.39,9.16234,0.54,2.086,4.188,12.805,5.465,3.757,1.121,0.125,0.101,0.74,0.63,1.978,1.363,0.575,2.65,2.48,6.469,13.445,1.72,0.172,0.177
93.73248,61.814,11.9034,33.69582,50.342,66.117,0.66,4.23518,1,20.298,122.234,36.0475,27.985,0.493,79.859,5.97207,0.784,70.682,28.239,0.179,0.22,22.0122,0.26,10.781,70.29,24.1,3.659,2.763,0.12849,0.861,9.199,0.097,5.564,2.343,0.56,0.35,4.04,0.5,0.77676,20.987,2.1,0.60498,47.81,7.626,2.467,0.09745,0.24,8.261,11.525,22.029,74.159,21.8936,0.71,1.25829,1.632,0.25,0.62,0.83,0.27,19.52,0.42,0.25982,0.33,33.534,6.439,7.06408,0.66,12.338,1.47,0.465,6.04,0.147,1.10839,3.77,0.81,2.60625,0.395,9.4002,0.53,2.263,4.292,12.898,5.503,3.757,1.131,0.125,0.104,0.72,0.63,1.998,1.339,0.5659,2.56,2.528,6.469,13.222,1.83,0.171,0.177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.02588,0.712,1.38091,6.55197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
